slug	name	package_group	attack_category	packages	description	url
hashcat-utils	hashcat-utils	passwords		hashcat-utils	Set of small utilities for advanced password cracking Hashcat-utils are a set of small utilities that are useful in advanced password cracking. They all are packed into multiple stand-alone binaries. All of these utils are designed to execute only one specific function.	https://www.kali.org/tools/hashcat-utils/
hashdeep	hashdeep	forensics	数字取证	hashdeep,hashdeep,md5deep,sha1deep,sha256deep,tigerdeep,whirlpooldeep	Recursively compute hashsums or piecewise hashings hashdeep is a set of tools to compute MD5, SHA1, SHA256, tiger and whirlpool hashsums of arbitrary number of files recursively. The main hashdeep features are: It can compare those hashsums with a list of known hashes; The tools can display those that match the list or those that	https://www.kali.org/tools/hashdeep/
hashid	hashid	passwords	凭据访问	hashid,hashid	Identify the different types of hashes used to encrypt data Identify the different types of hashes used to encrypt data and especially passwords. hashID is a tool written in Python 3.x which supports the identification of over 175 unique hash types using regular expressions. It is able to identify a single hash or parse a file and identify the hashes	https://www.kali.org/tools/hashid/
hashrat	hashrat	respond		hashrat,hashrat	Hashing tool supporting several hashes and recursivity Hashrat is a hash-generation utility that supports the md5, sha1, sha256, sha512, whirlpool, jh-244, jh256, jh-384 and jh-512 hash functions, and also the HMAC versions of those functions. It can output in ’traditional' format (same as md5sum and shasum and the like), or it’s own format. Hashes can be output in octal, decimal, hexadecimal, uppercase hexadecimal	https://www.kali.org/tools/hashrat/
havoc	havoc	utils	命令与控制	havoc,havoc	Modern and malleable post-exploitation C2 framework Havoc is a modern, malleable post-exploitation command and control framework made for penetration testers, red teams, and blue teams.	https://www.kali.org/tools/havoc/
hb-honeypot	hb-honeypot	identify		hb-honeypot,hb-honeypot,hb_honeypot.pl	Heartbleed Honeypot Script This Perl script listens on TCP port 443 and responds with completely bogus SSL heartbeat responses, unless it detects the start of a byte pattern similar to that used in Jared Stafford’s ( [email protected] ) demo for	https://www.kali.org/tools/hb-honeypot/
hcxtools	hcxtools	utils		hcxtools,hcxeiutool,hcxhash2cap,hcxhashtool,hcxpcapngtool,hcxpmktool,hcxpottool,hcxpsktool,hcxwltool,whoismac,wlancap2wpasec	Tools for converting captures to use with hashcat or John the Ripper Portable solution for capturing wlan traffic and conversion to hashcat formats (recommended by hashcat) and to John the Ripper formats. hcx stands for: h = hash c = capture, convert and calculate candidates	https://www.kali.org/tools/hcxtools/
heartleech	heartleech	web	侦察	heartleech,heartleech	Scanner detecting systems vulnerable to the heartbleed OpenSSL bug This is a typical “heartbleed” tool. It can scan for systems vulnerable to the bug, and then be used to download them. Some important features: conclusive/inconclusive verdicts as to whether the target is vulnerable bulk/fast download of heartbleed data into a large files for offline processing using many threads	https://www.kali.org/tools/heartleech/
hekatomb	hekatomb	utils		hekatomb,hekatomb	Extract and decrypt all credentials from all domain computers Hekatomb is a Python script that connects to an LDAP directory to retrieve all computers and users’ information. From there, it will download all DPAPI blobs of all users from all computers and use Domain backup keys to decrypt them.	https://www.kali.org/tools/hekatomb/
hexinject	hexinject	sniffing-spoofing	发现	hexinject,hex2raw,hexinject,packets.tcl,prettypacket	Versatile packet injector and sniffer HexInject is a very versatile packet injector and sniffer, that provide a command-line framework for raw network access. It’s designed to work together with others command-line utilities, and for this reason it facilitates the creation	https://www.kali.org/tools/hexinject/
hexstrike-ai	hexstrike-ai	utils	服务与其它工具	hexstrike-ai,hexstrike_mcp,hexstrike_server	AI-Powered MCP Cybersecurity Automation Platform This package contains an HexStrike AI MCP v6.0 which features a multi-agent architecture with autonomous AI agents, intelligent decision-making, and vulnerability intelligence.	https://www.kali.org/tools/hexstrike-ai/
hexwalk	hexwalk	utils	数字取证	hexwalk,hexwalk	Hex analyzer, editor and viewer HexWalk is an Hex editor, viewer, analyzer based on opensource projects like qhexedit2, binwalk and QT It is cross platform and has plenty of features: Advanced find patterns in binary files based on HEX, UTF8, UTF16 and regex Binwalk integration	https://www.kali.org/tools/hexwalk/
hivex	hivex	forensics		libhivex-bin,hivexget,hivexml,hivexsh,libhivex-dev,libhivex-ocaml,libhivex-ocaml-dev,libhivex0,libwin-hivex-perl,hivexregedit,python3-hivex,ruby-hivex	Utilities for reading and writing Windows Registry hives libhivex is a self-contained library for reading and writing Windows Registry “hive” binary files. This package contains a few command line programs that utilize libhivex.	https://www.kali.org/tools/hivex/
hoaxshell	hoaxshell	utils	命令与控制	hoaxshell,hoaxshell	Windows reverse shell payload generator and handler that abuses http(s) Hoaxshell is a Windows reverse shell payload generator and handler that abuses the http(s) protocol to establish a beacon-like reverse shell	https://www.kali.org/tools/hoaxshell/
horst	horst	utils		horst,horst	Highly Optimized Radio Scanning Tool horst is a small, lightweight IEEE802.11 WLAN analyzer with a text interface. Its basic function is similar to tcpdump, Wireshark or Kismet, but it’s much smaller and shows different, aggregated information which is not easily available from other tools. It is made for debugging wireless LANs with a focus on getting a quick	https://www.kali.org/tools/horst/
hostapd-mana	hostapd-mana	utils		hostapd-mana,hostapd-mana,hostapd-mana_cli	Featureful rogue access point This package contains a eatureful rogue access point first presented at Defcon 22.	https://www.kali.org/tools/hostapd-mana/
hostapd-wpe	hostapd-wpe	wireless		hostapd-wpe,hostapd-wpe,hostapd-wpe_cli	Modified hostapd to facilitate AP impersonation attacks This package contains hostapd modified with hostapd-wpe.patch. It implements IEEE 802.1x Authenticator and Authentication Server impersonation attacks to obtain client credentials, establish connectivity to the client, and launch other attacks where applicable.	https://www.kali.org/tools/hostapd-wpe/
hosthunter	hosthunter	utils		hosthunter,hosthunter	Tool to discover and extract hostnames providing a set of target IP addresses This package contains a tool to efficiently discover and extract hostnames providing a large set of target IP addresses. HostHunter utilises simple OSINT techniques to map IP addresses with virtual hostnames. It generates a CSV or TXT file containing the results of the reconnaissance. Latest version of HostHunter also takes screenshots of the targets, it is	https://www.kali.org/tools/hosthunter/
hostsman	hostsman	utils		hostsman,hostsman	Cross-platform command line tool for handling hosts files cross-platform command line tool for adding, removing or listing mappings in hosts file.	https://www.kali.org/tools/hostsman/
hotpatch	hotpatch	utils		hotpatch,hotpatcher	Hot patches Linux executables with .so file injection Hotpatch is a library that can be used to dynamically load a shared library (.so) file on Linux from one process into another already running process, without affecting the execution of the target process. The API is a C API, but also supported in C++.	https://www.kali.org/tools/hotpatch/
hping3	hping3	information-gathering	发现	hping3,hping3	Active Network Smashing Tool hping3 is a network tool able to send custom ICMP/UDP/TCP packets and to display target replies like ping does with ICMP replies. It handles fragmentation and arbitrary packet body and size, and can be used to transfer files under supported protocols. Using hping3, you can test firewall rules, perform (spoofed) port scanning, test network	https://www.kali.org/tools/hping3/
htshells	htshells	utils		htshells,htshells	Self contained htaccess shells and attacks htshells is a series of web based attacks based around the .htaccess files. Most of the attacks are centered around two attack categories. Remote code/ command execution and information disclosure. These attacks are intended for use during penetration tests or security assessments. It was created to get shell in a CMS that restricted uploads based on extension and placed each	https://www.kali.org/tools/htshells/
httprint	httprint	web		httprint,httprint	Web server fingerprinting tool httprint is a web server fingerprinting tool. It relies on web server characteristics to accurately identify web servers, despite the fact that they may have been obfuscated by changing the server banner strings, or by plug-ins such as mod_security or servermask. httprint can also be used to detect web enabled devices which do not have a server banner string, such as wireless	https://www.kali.org/tools/httprint/
httprobe	httprobe	utils		httprobe,httprobe	Take a list of domains and probe for working HTTP and HTTPS servers This package contains a tool to test a domains list. It takes a list of domains and probe for working http and https servers.	https://www.kali.org/tools/httprobe/
httpx-toolkit	httpx-toolkit	information-gathering		httpx-toolkit,httpx-toolkit	Fast and multi-purpose HTTP toolkit This package contains the httpX toolkit developed by ProjectDiscovery. It’s a fast and multi-purpose HTTP toolkit allow to run multiple probers using retryablehttp library, it is designed to maintain the result reliability with increased threads. Features	https://www.kali.org/tools/httpx-toolkit/
httrack	httrack	web	收集	httrack,httrack,httrack-doc,libhttrack-dev,libhttrack3,proxytrack,proxytrack,webhttrack,htsserver,webhttrack,webhttrack-common	Copy websites to your computer (Offline browser) HTTrack is an offline browser utility, allowing you to download a World Wide website from the Internet to a local directory, building recursively all directories, getting html, images, and other files from the server to your computer. HTTrack arranges the original site’s relative link-structure. Simply	https://www.kali.org/tools/httrack/
hubble	hubble	utils		hubble,hubble	Network, Service & Security Observability for Kubernetes using eBPF (program) Hubble is a fully distributed networking and security observability platform for cloud native workloads. It is built on top of Cilium ( https://github.com/cilium/cilium ) and eBPF (	https://www.kali.org/tools/hubble/
humble	humble	utils		humble,humble	HTTP Headers Analyzer This package contains an humble, and fast, security-oriented HTTP headers analyzer.	https://www.kali.org/tools/humble/
